participant_id	test_section_id	sentence	user_input	keystroke_id	press_time	release_time	letter	keycode	press_to_release	press_to_press	timestamp_error_code	timestamp_error_code_1_this_sent
56937	622824	The children will entertain you while you wait.	The children will entertain you while you wait.	29624569	1472667815881	1472667825884	NA	73	10003	-6520	3	NA
56937	622843	These are big storms and traffic isn't moving.	These are big storms and traffic isn't moving.	29625550	1472667830892	1472667834731	NA	73	3839	-280	3	NA
56937	622865	If not can I call you?	If not can I call you?	29626159	1472667838621	1472667840719	NA	73	2098	-315	3	NA
56937	622875	See you on the third.	See you on the third.	29627048	1472667842025	1472667848977	NA	73	6952	-2544	3	NA
56937	622885	It was the best dinner table conversation we've had in a long time.	It was the best dinner table conversation we've had in a long time.	29627300	1472667848866	1472667851123	NA	73	2257	-415	3	NA
56937	622905	I'll get busy now and hopefully email you later today.	I'll get busy now and hopefully email you later today.	29628223	1472667858395	1472667860885	NA	73	2490	-321	3	NA
56937	622921	I am really not wanting to come back.	I am really not wanting to come back.	29629074	1472667865732	1472667870094	NA	73	4362	-2436	3	NA
56937	622936	I will not be available.	I will not be available.	29629577	1472667872061	1472667876308	NA	73	4247	-2337	3	NA
56937	622946	The official agency SABA said Wednesday 25 civilians had been killed.	The official agency SABA said Wednesday 25 civilians had been killed.	29630142	1472667878290	1472667883485	NA	73	5195	-2125	3	NA
56937	622968	Because there is traffic.	Because there is traffic.	29631413	1472667893158	1472667897792	NA	73	4634	-588	3	NA
56937	622982	Mike got himself a bamboo needle.	Mike got himself a bamboo needle.	29631897	1472667898988	1472667902292	NA	73	3304	-532	3	NA
56937	622998	his will be hard.	his will be hard.	29632645	1472667903437	1472667909363	NA	73	5926	-3730	3	NA
56937	623011	We will be dining fashionably late.	We will be dining fashionably late.	29633225	1472667909688	1472667915042	NA	73	5354	-1887	3	NA
56937	623030	I just tracked down Steve.	I just tracked down Steve.	29634029	1472667917693	1472667922134	NA	73	4441	-2538	3	NA
56940	623208	The Mercedes engine takes advantage of extra boost.	The Mercedes engine takes advantage of extra boost.	29642609	1472667774337	1472667778801	NA	69	4464	-808	3	NA
56940	623244	Or are you going to be tied up with dinner?	Or are you going to be tied up with dinner?	29644530	1472667792312	1472667801224	NA	69	8912	-3120	3	NA
56940	623264	He would love anything about rocks.	He would love anything about rocks.	29645242	1472667806760	1472667810072	NA	69	3312	-664	3	NA
56940	623287	Louis featured back this weekend against the N.	Louis featured back this weekend against the N.	29646280	1472667812824	1472667823512	NA	69	10688	-4336	3	NA
56940	623307	We've advised the family how to go about it.	We've advised the family how to go about it.	29647130	1472667829842	1472667834335	NA	69	4493	-405	3	NA
56940	623322	We have lots of paper stuff.	We have lots of paper stuff.	29647853	1472667837344	1472667843719	NA	69	6375	-3447	3	NA
56947	623017	Would you please send runner to get this?	Would you please send runner to get this?	29634682	1472667914638	1472667935528	t	84	20890	-8372	3	NA
57016	623803	I will be taking the first week in December off, though.	I will be taking the first week in December off, though.	29671149	1472668430609	1472668454609	.	190	24000	-10672	3	NA
57052	624253	They must not be distributed without our consent.	They must not be distributed without our consent.	29691983	1472668702638	1472668724584	.	190	21946	-11128	3	NA
57085	624610	Mike Anderson will retain the starting job for now.	Mike Anderson will retain the starting job for now.	29708315	1472668941777	1472668941247	e	69	-530	2	1	TRUE
57085	624610	Mike Anderson will retain the starting job for now.	Mike Anderson will retain the starting job for now.	29708318	1472668941832	1472668941311	 	32	-521	55	1	TRUE
57085	624682	A three-man inquiry team spent months investigating the allegations.	A three- man inquiry team spent months investigating the allegations.	29712679	1472668976278	1472668995917	.	190	19639	-4671	3	NA
57107	625131	Watch for more details, coming soon.	Watch for more details, coming soon.	29734489	1472669219680	1472669239335	.	190	19655	-10368	3	NA
57158	625325	Has Brian had his contract yet?	Has Brian had his contract yet?	29743551	1472669374609	1472669379897	CAPS_LOCK	20	5288	-584	3	NA
57191	625608	When it is used we try and do as many paths as possible.	When it is used we try and do as many paths as possible.	29757259	1472669620423	1472669642064	.	190	21641	-9632	3	NA
57191	625658	I would assume this week sometime.	I would assume this week sometiem.	29759860	1472669655471	1472669680205	.	190	24734	-13631	3	NA
57191	625738	A parliamentary committee will collect the public's comments.	A parliamentary comitee will collect the public's comments	29763658	1472669723253	1472669741308	.	190	18055	-4296	3	NA
57222	625918	Very truly yours, Acme Costume Co.	Very truly yours, Acem Costume Co.	29771686	1472669842882	1472669863409	.	190	20527	-11504	3	NA
57243	626185	At 17, he enlisted in the US Navy.	At 17, he enlisted in the US NAvy.	29784398	1472670075677	1472670097571	.	190	21894	-12911	3	NA
57286	626532	As they used to say of Gandhi, he was a mahatma, a great soul.	As they used to say of Gandhi, we was a mahatma, a great sou;.	29800338	1472670398964	1472670404019	SHIFT	16	5055	-687	3	NA
57293	626609	There will be some better news later today	There will be some better news later today.	29804655	1472670469123	1472670492396	.	190	23273	-12344	3	NA
57368	627324	Nothing new from Mom.	Nothing new from Mom.	29837726	1472671127414	1472671130960	SHIFT	16	3546	-278	3	NA
57485	628698	I would expect an answer ASAP.	I would expect and answer ASAP.	29903562	1472672185404	1472672188148	SHIFT	16	2744	-408	3	NA
57500	628919	On appeal they were finally placed in Division Two.	On appeal they were finally placed in Division Two.	29913969	1472672361212	1472672364052	SHIFT	16	2840	-232	3	NA
57512	629059	This transaction is expected to close next year.	This transaction is expected to close next year.	29920852	1472672459454	1472672471622	.	190	12168	-5977	3	NA
57533	629484	The meeting came days after the entry into Chernomyrdin's team.	The meeting came days after the entry into Chernomyrdin's team.	29941067	1472672809249	1472672818510	SHIFT	16	9261	-166	3	NA
57553	629470	His status for Thursday's game against Dallas is unclear.	His status for Thursday's game against Dallas is unclear	29940405	1472672798264	1472672805377	SHIFT	16	7113	-268	3	NA
57565	629640	We don't recommend McNair this week as a result.	We don't recommend McNair this week as a result. 	29947847	1472672938006	1472672941564	t	79	3558	-1056	3	NA
57565	629651	Thank you for your prompt reply.	Thank you for your prompt reply. 	29948539	1472672942307	1472672950778	o	79	8471	-5509	3	NA
57565	629663	In a couple of weeks.	In a couple of weeks. 	29948987	1472672947481	1472672957443	s	83	9962	-6014	3	NA
57565	629669	If Motley is in we are out of money.	If Motley is in we are out of money. 	29949167	1472672956602	1472672960687	o	79	4085	-1504	3	NA
57565	629676	Southern forces said they had shot down three northern warplanes.	Southern forces said they had shot down three northern warplanes. 	29949641	1472672963098	1472672966551	o	79	3453	-1252	3	NA
57565	629691	He disputed reports that Wheatley would be out four weeks.	He disputed reports that Wheatley would be out four weeks. 	29950660	1472672972280	1472672978890	o	79	6610	-2006	3	NA
57575	629725	Winning here, everybody was more shocked and surprised.	Winning here, everybody was more shocked and surprised.	29952318	1472672978942	1472672988309	 	77	9367	-2667	3	NA
57575	629736	Two RAF Hercules transport planes airlifted foreign evacuees.	Two RAF Hercules transport planes airlifted foreign evacuess.	29952928	1472672989650	1472672997925	a	65	8275	-4508	3	NA
57575	629754	Presuming we can afford headcount?	Presuming we can afford headcount?	29953674	1472672988107	1472673014213	m	77	26106	-23115	3	NA
57575	629761	Please leave it to Brian.	Please leave it to Brian.	29953940	1472673016750	1472673021261	a	65	4511	-1641	3	NA
57575	629768	Kim, here's the PSCO website address.	Kim, here's the PSCO website address.	29954141	1472673014127	1472673026535	m	77	12408	-10111	3	NA
57575	629777	Valerie, the prices look fine in Sitara.	Valerie, the prices look fine in Sitara.	29954614	1472673032086	1472673035547	a	65	3461	-1310	3	NA
57575	629791	Parking at the walk site will be free.	Parking at the walk site will be free.	29955270	1472673045904	1472673048248	a	65	2344	-218	3	NA
57575	629799	Please coordinate with him.	Please coordinate with him.	29955825	1472673026404	1472673058776	m	77	32372	-25893	3	NA
57575	629804	The cause of the fire was under investigation, police said.	The cause of the fire was under investigation, police said.	29955980	1472673057497	1472673061648	a	65	4151	-1345	3	NA
57575	629816	Donovan McNabb is one of my starters.	Donovan McNabb is one of my starters.	29956707	1472673058641	1472673076569	m	77	17928	-14186	3	NA
57575	629824	Even if it were approved, Clinton could veto the measure.	Even if it were approved, Clinton could veto the measure.	29957400	1472673079839	1472673092256	m	77	12417	-1352	3	NA
57575	629837	I'm not close enough right now to the discussion.	I'm not close enough right now to the discussion.	29957596	1472673092128	1472673096299	m	77	4171	-1699	3	NA
57655	630591	The accord was due to have come into effect overnight.	The accod was due to have come into effect overnight	29992615	1472673649206	1472673660684	d	68	11478	-6673	3	NA
57667	630710	Officials said Thursday that visit would take place on May 26 to 29.	Officials said Thursday that visit would take place on May 26 to 29.	29999131	1472673705254	1472673727555	NA	190	22301	-7430	3	NA
57667	630810	Ruth, here is an estimated November purchase.	Ruth, here is an estimated November purchase.	30003358	1472673737364	1472673780161	NA	190	42797	-32953	3	NA
57721	631369	I think that will help.	I think that will help.	30029818	1472674193766	1472674208294	.	190	14528	-10152	3	NA
57738	631682	Okay I'll go for a ticket.	Okay I'll go for a ticket.	30045219	1472674414078	1472674433846	.	190	19768	-14480	3	NA
57847	632900	Your fax was busy for a while.	Your fax was busy for a while.	30102802	1472675506025	1472675524364	.	190	18339	-7942	3	NA
57847	632955	There are some different rules here.	There are some different rules here.	30105158	1472675563851	1472675566870	SHIFT	16	3019	-239	3	NA
57866	633056	It will probably be tomorrow.	It will probably be tomorrow.	30109928	1472675655660	1472675680598	.	190	24938	-15629	3	NA
57866	633146	Joel will handle this.	Joel will handle this.	30114331	1472675743035	1472675766648	.	190	23613	-16158	3	NA
57867	633024	Amy Felling should be your contact on the 19th.	Amy Felling should be your contact on the 19th.	30108604	1472675427610	1472675427540	h	72	-70	95	1	TRUE
57892	633318	That's a fair trade off.	That's a fair trade off.	30122448	1472675902810	1472675915411	'	222	12601	-9770	3	NA
57910	633450	Still waiting on decision.	Still waiting on decision	30128427	1472676007377	1472676009681	SHIFT	16	2304	-99	3	NA
57910	633522	I'm still learning about the ovals.	I'm still learning about the ovals.	30131549	1472676026719	1472676057670	.	190	30951	-24218	3	NA
57910	633575	Are we ready for this on Monday?	Are we ready for this on Monday?	30133689	1472676066468	1472676089004	?	191	22536	-16080	3	NA
58012	634793	Did you mean Oxley?	Did you mean Oxley?	30190740	1472677445555	1472677448929	SHIFT	16	3374	-824	3	NA
58017	634654	I am working on the November producers today as a matter of fact.	I am working on the November producers today as a matter of fact.	30184583	1472677272952	1472677288183	.	190	15231	-16	3	NA
58041	634945	Check with Vince Strohmeyer.	Check with Vince Strohmeyer.	30197953	1472677634592	1472677638172	NA	69	3580	-399	3	NA
58041	634952	Mansell has not forgotten what the ovals have meant to him, however.	Mansell has not forgotten what the ovals have meant to him, however.	30198246	1472677642670	1472677646939	NA	69	4269	-1244	3	NA
58041	634959	It is very unlikely that patrons of tour operators are troublemakers.	It is very unlikely that patrons of tour operators are troublemakers.	30198831	1472677656099	1472677662500	NA	69	6401	-353	3	NA
58041	634968	I'm not planning on doing anything this week.	I'm not planning on doing anything this week.	30199500	1472677671776	1472677681339	NA	69	9563	-627	3	NA
58041	634977	I plan to be in the office tomorrow.	I plan to be in the office tomorrow.	30199637	1472677682213	1472677687181	NA	69	4968	-353	3	NA
58047	634907	What a nice note.	What a nice note.	30196343	1472677595513	1472677598928	SHIFT	16	3415	-564	3	NA
58089	635393	A state supreme court judge is expected to rule on the issue shortly.	A state supreme court judge is expected to rule on the issue shortly. 	30219648	1472678105769	1472678126269	u	85	20500	-10695	3	NA
58089	635650	I'm in Stan's office.	I'm in Stan's office.	30232120	1472678343914	1472678352701	 	32	8787	-4725	3	NA
58217	636999	The matter was still being investigated.	The matter was still being investigated.	30293319	1472679734671	1472679746522	CAPS_LOCK	20	11851	-1370	3	NA
58252	637549	He is suffering from a strained left shoulder.	He is suffering from a strained left shoulder.	30320267	1472680303113	1472680324048	.	190	20935	-13073	3	NA
58293	638067	This event will be a blast.	This event will be a blast	30344357	1472680918465	1472680924753	SHIFT	16	6288	-1360	3	NA
58302	638264	He was in great shape last night.	He was in great shape last night.	30353520	1472681115702	1472681120463	SHIFT	16	4761	-208	3	NA
58317	638330	This is the limit.	This is the limit.	30356718	1472681203501	1472681217080	.	190	13579	-8034	3	NA
58329	638450	Montpellier won the Cup at their first attempt.	Montpellier won the Cup at their first attempt.	30362784	1472681252921	1472681271384	.	190	18463	-8124	3	NA
58329	638523	What is the mood?	What is the mood?	30365705	1472681276843	1472681318446	.	190	41603	-37945	3	NA
58384	639060	I thought you were on 6.	I thought you were on 6.	30390938	1472681983768	1472682000862	.	190	17094	-11625	3	NA
58409	639510	Or are you going to be tied up with dinner?	Or are you going to be tied up with dinner?	30413203	1472682480723	1472682483395	SHIFT	16	2672	-352	3	NA
58409	639527	I think in this case specific is better.	I think in this case specific is better.	30414049	1472682497004	1472682499300	SHIFT	16	2296	-200	3	NA
58425	639621	How are things with you?	How are things with you?	30418772	1472682598374	1472682601120	SHIFT	16	2746	-1163	3	NA
58526	640602	We don't have any ability to veto their decisions.	We don't have any ability to veto their decisions.	30466632	1472683822340	1472683850688	.	190	28348	-18944	3	NA
58536	640826	The Mercedes drivers ae likely to break the track records.	The Mercedes drivers ae likely to break the track records.	30476396	1472684045989	1472684049649	SHIFT	16	3660	-624	3	NA
58584	641328	It's going to be a tough weekend.	It's going to be a tough weekend.	30499863	1472684484990	1472684486764	SHIFT	16	1774	-90	3	NA
58684	642495	Man I don't want to get sick again.	Man I don't want to get sick again.	30554249	1472685666303	1472685670901	NA	73	4598	-1037	3	NA
58684	642501	Seve Ballesteros was well satisfied with his first round.	Seve Ballesteros was well satisfied with his first round.	30554889	1472685675514	1472685686982	NA	73	11468	-531	3	NA
58684	642515	I was going to call you but I hate to bother your holiday.	I was going to call you but I hate to bother your holiday.	30555294	1472685690969	1472685695196	NA	73	4227	-2326	3	NA
58684	642527	But I believe answer will be yes.	But I believe answer will be yes.	30556071	1472685705345	1472685710385	NA	73	5040	-959	3	NA
58684	642533	We obviously have a lot to talk about.	We obviously have a lot to talk about.	30556467	1472685714422	1472685721973	NA	73	7551	-2140	3	NA
58684	642542	Wang was to meet with Clinton's national security advisor.	Wang was to meet with Clinton's national security advisor.	30557070	1472685721887	1472685736095	NA	73	14208	-5784	3	NA
58684	642554	Drop him if he was on your Fantasy roster.	Drop him if he was on your Fantasy roster.	30557617	1472685742622	1472685750741	NA	73	8119	-878	3	NA
58684	642567	Genaro, we have fixed the pricing in our system.	Genaro, we have fixed the pricing in our system.	30558304	1472685751084	1472685765180	NA	73	14096	-6306	3	NA
58684	642580	Expect him to be the Bears featured back for the rest of the year.	Expect him to be the Bears featured back for the rest of the year.	30558926	1472685768255	1472685778602	NA	73	10347	-2278	3	NA
58684	642600	Ibrahim sent arms and explosives by sea to the Indian west coast.	Ibrahim sent arms and explosives by sea to the Indian west coast.	30559887	1472685778489	1472685796268	NA	73	17779	-11075	3	NA
58684	642621	What is the shower at Patsy's for?	What is the shower at Patsy's for?	30561017	1472685805915	1472685813536	NA	73	7621	-2685	3	NA
58684	642637	He disputed reports that Wheatley would be out four weeks.	He disputed reports that Wheatley would be out four weeks.	30562000	1472685813465	1472685828764	NA	73	15299	-5626	3	NA
58684	642663	We're here to qualify in the second or third row.	Wwe're here to qualify in the second or third row.	30563240	1472685828653	1472685848833	NA	73	20180	-11406	3	NA
58684	642685	Last year I made some mistakes here.	Last year I made some mistakes here.	30564119	1472685853469	1472685861853	NA	73	8384	-3606	3	NA
58688	642784	Reserve Heap on your roster this week.	Reserve Heap on your roster this week.	30568895	1472685949320	1472685995876	.	190	46556	-22599	3	NA
58719	642924	I would not say I have guaranteed my final place.	I would not say I have guaranteed my final Place.	30574694	1472686203198	1472686243646	.	190	40448	-25161	3	NA
58822	644054	You can talk to Becky!	You can talk to Becky!	30628365	1472687865939	1472687867913	SHIFT	16	1974	-47	3	NA
58900	645179	Please call tomorrow if possible.	Please call tomorrow if possible.	30682064	1472689236559	1472689239876	SHIFT	16	3317	-130	3	NA
58911	645308	More than million landmines lie unexploded in at least 62 countries.	More than million landmines lie unexploded in at least 62 countries.	30689767	1472689378954	1472689412598	.	190	33644	-5385	3	NA
58920	645437	Please make sure Bob Kelley is on the list.	Please make sure Bob Kelley is on the list.	30695634	1472689504742	1472689527493	.	190	22751	-9055	3	NA
58939	645688	Gold fell 1.90 dollars from Wednesday's closing price.	Gold fell 1.90 dollars from Wednesday's closing price.	30707710	1472689643963	1472689692440	.	190	48477	-39246	3	NA
58965	646100	I sent it to her.	I sent it to her>	30727992	1472690008356	1472690013513	SHIFT	16	5157	-105	3	NA
58973	646081	I think these will be just fine.	I think these will be just fine.	30727408	1472689984352	1472690019007	j	74	34655	-26112	3	NA
59043	647053	Have you talked to Somerholder?	Have you talked to Somerholder?|	30774280	1472690989395	1472691010643	SHIFT	16	21248	-161	3	NA
59211	648883	Weinke could have a big game.	Weinke could have a big game.	30860706	1472692489164	1472692508169	.	190	19005	-6828	3	NA
59304	650209	Charlie Garner will once again be Oakland's feature back.	Charlie Garner will once again be Oakland's feature back.	30922374	1472697312804	1472697334834	.	190	22030	-8574	3	NA
59358	650872	They spent about two hours at Larnaca airport.	They spent about two hours at Larnaca airport.	30953701	1472694372330	1472694400988	.	190	28658	-13609	3	NA
59409	651284	But we should pay them the 4500.	But we should play then the 4500.	30974474	1472705645664	1472705678264	.	190	32600	-20672	3	NA
59451	651591	One assistant and one HR associate.	One assistant and one HR associate.	30989001	1472695133379	1472695170137	c	67	36758	-20397	3	NA
59475	651961	History repeated itself last season when Tenerife beat Madrid.	History repeated itself last season when Tenerife beat Madrid.	31006904	1472695611334	1472695613993	CAPS_LOCK	20	2659	-1225	3	NA
59516	652345	We know this is a big time at the speedway.	We know this is big time at the speedway.	31025858	1472696062257	1472696074615	s	83	12358	-351	3	NA
59561	652989	Benjamin Gay and Jamel White shared carries in his place.	Benjamin gay and Jamel White shared carries in his place.	31056031	1472696650948	1472696653844	SHIFT	16	2896	-31	3	NA
59563	653112	Task has to be completed.	Task has to be completed.	31062057	1472696771772	1472696774411	SHIFT	16	2639	-323	3	NA
59642	654404	I need your help in putting together a new list.	I need your help in puttig together a new list.	31123776	1472697892511	1472697907769	g	71	15258	-9336	3	NA
59683	654916	Let me know if I can be of help.	Let me know if I can be of help.	31149342	1472698269574	1472698281112	e	66	11538	-6455	3	NA
59683	654925	Do you want to eat lunch somewhere before?	Do you want to eat lunch somewhere before?	31149837	1472698281012	1472698289298	b	66	8286	-1443	3	NA
59683	654955	There are several business issues outstanding.	There are several business issues outstanding.	31150795	1472698289187	1472698304979	b	66	15792	-10874	3	NA
59683	654975	I'll take up my problem with weak Scott H.	I'll take up my problem with weak Scott H.	31151717	1472698304783	1472698322835	b	66	18052	-12028	3	NA
59805	656661	I will get the gathering to Gloria tomorrow.	I will get the gathering to Gloria tomorrow.	31230802	1472699851225	1472699858625	 	32	7400	-424	3	NA
59814	656853	As they used to say of Gandhi, he was a mahatma, a great soul.	As they used to say of Ghandi, he was a mahatma, a great soul.	31239954	1472700074836	1472700075868	SHIFT	16	1032	-344	3	NA
59861	657370	The cause of the fire was under investigation, police said.	The cause of the fire was under inestigation, police said.	31263351	1472700555126	1472700558885	a	65	3759	-215	3	NA
59861	657390	Martha Stewart will not be dining with us this Thanksgiving.	Martha Stewart will not be dining with us this Thanksgiving.	31264406	1472700571216	1472700576691	s	83	5475	-1732	3	NA
59925	658026	Expect him to be the Bears featured back for the rest of the year.	Expect him to be the Bears featured back for the rest of the year.	31295479	1472701283370	1472701292370	NA	79	9000	-3141	3	NA
59925	658040	He agrees that they are not showing the correct equation.	He agrees that they are not showing the correct equation.	31296170	1472701301280	1472701309710	NA	79	8430	-1229	3	NA
59925	658053	We are waiting on the cold front.	We are waiting on the cold front.	31296730	1472701316500	1472701324180	NA	79	7680	-2250	3	NA
59925	658062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	31297113	1472701326090	1472701333300	NA	79	7210	-1479	3	NA
59925	658077	I decided that I am going to stay here!	I decided that I am going to stay here!	31298266	1472701347909	1472701358750	NA	79	10841	-451	3	NA
59925	658094	It was great to finally meet you.	It was great to finally meet you.	31298820	1472701359180	1472701371910	NA	79	12730	-6910	3	NA
59925	658099	Have not added Westport on yet.	Have not added Westport on yet.	31299044	1472701374330	1472701378080	NA	79	3750	-370	3	NA
59925	658108	We are about to leave Heaven!	We are about to leave Heaven!	31299433	1472701383030	1472701388230	NA	79	5200	-960	3	NA
59925	658112	I meant to try and explain, not to redo.	I meant to try and explain, not to redo.	31299886	1472701388609	1472701403362	NA	79	14753	-2961	3	NA
59925	658127	New York's Supreme Court upheld a lower court decision.	New York's Supreme Court upheld a lower court decision.	31300234	1472701409209	1472701413573	NA	79	4364	-295	3	NA
59925	658139	The meteor shower was incredible last night.	The meteor shower was incredible last night.	31300878	1472701426350	1472701432610	NA	79	6260	-1650	3	NA
59925	658146	I am out of town on business.	I am out of town on business.	31301229	1472701433579	1472701443779	NA	79	10200	-6561	3	NA
59925	658155	It's just very confusing at first.	It's just very confusing at first.	31301590	1472701445720	1472701453389	NA	79	7669	-1920	3	NA
59925	658164	There are some issues on which we agree.	There are some issues on which we agree.	31301969	1472701453250	1472701461110	NA	79	7860	-3450	3	NA
59939	658305	Do we have anyone in Portland?	Do we have anyone in Portland?	31308652	1472701634838	1472701638327	SHIFT	16	3489	-93	3	NA
59951	658356	I'll get busy now and hopefully email you later today.	I'll get busy now and hopefully email you later today.	31311327	1472701681649	1472701684137	SHIFT	16	2488	-159	3	NA
60054	659699	Please pass along my thanks, though.	Please pass along my thanks, thoohg.	31376642	1472703292514	1472703306858	.	190	14344	-4633	3	NA
60156	660629	Wonder what next week will bring.	Wonder what next week will bring.	31420821	1472704487950	1472704497681	i	73	9731	-1772	3	NA
60156	660635	Treasa knows the details.	Treasa knows the details.	31421071	1472704498448	1472704506748	i	73	8300	-410	3	NA
60156	660640	This year I can walk and it's so much better.	This year I can walk and it's so much better.	31421154	1472704506647	1472704512137	i	73	5490	-663	3	NA
60156	660645	France also was prepared to participate in a UN multinational force.	France also was prepared to participate in a UN multinational force.	31421546	1472704515628	1472704526077	i	73	10449	-2750	3	NA
60156	660650	However, he's not worth starting on your Fantasy team.	However, he's not worth starting on your Fantasy team.	31421972	1472704529828	1472704539464	i	73	9636	-1391	3	NA
60156	660660	I will be thinking of you.	I will be thinking of you.	31422212	1472704539306	1472704549323	i	73	10017	-5300	3	NA
60156	660663	However, he's no better than waiver wire fodder in Fantasy Football.	However, he's no better than waiver wire fodder in Fantasy Football..	31422561	1472704551382	1472704562832	i	73	11450	-1743	3	NA
60156	660669	I'm on a plane.	I'm on a plane.	31422813	1472704564877	1472704573476	i	73	8599	-3526	3	NA
60156	660673	Their key decision maker did not show which is not a good sign.	Their key decision maker did not show which is not a good sign.	31422977	1472704573358	1472704579835	I	73	6477	-2747	3	NA
60156	660680	Wang urged the international community not to forget the prisoners.	Wang urged the international community not to forget the prisoners.	31423339	1472704587798	1472704594357	i	73	6559	-694	3	NA
60210	661190	I am out of town on business tonight.	I am out of town on business tonight.	31447509	1472705433452	1472705440852	NA	65	7400	-2400	3	NA
60210	661205	Tests Monday showed no structural damage to his shoulder.	Tests Monday showed no structural damage to his shoulder.	31448586	1472705440714	1472705457425	NA	65	16711	-10913	3	NA
60210	661225	It's really just technicalities.	It's really just technicalities.	31449573	1472705464316	1472705473637	NA	65	9321	-4454	3	NA
60210	661242	I will call in 20 to 30 minutes.	I will call in 20 to 30 minutes.	31450243	1472705478547	1472705484732	NA	65	6185	-1612	3	NA
60210	661254	What is the purpose of this?	What is the purpose of this?	31450783	1472705484580	1472705493703	NA	65	9123	-5627	3	NA
60210	661265	No obligation to pay.	No obligation to pay.	31451384	1472705493557	1472705504689	NA	65	11132	-5640	3	NA
60210	661270	ENA is not purchasing Westport's gas at this time.	ENA is not purchasing Westport's gas at this time.	31451668	1472705506219	1472705510080	NA	65	3861	-425	3	NA
60210	661283	You can't destroy us, and you can't stop us.	You can't destroy us, and you can't stop us.	31452420	1472705520778	1472705527630	NA	65	6852	-2323	3	NA
60210	661297	Brian is working this.	Brian is working this.	31452950	1472705533304	1472705540952	NA	65	7648	-3842	3	NA
60210	661302	I can get them.	I ca get them.	31453243	1472705541699	1472705549258	NA	65	7559	-3756	3	NA
60210	661308	I know you changed it.	I know you changed it.	31453518	1472705549092	1472705557495	NA	65	8403	-2022	3	NA
60210	661314	Profits were up 28 percent for the first quarter of this year.	Profits were up 28 percent for the first quarter of this year.	31454247	1472705559989	1472705578386	NA	65	18397	-2556	3	NA
60210	661330	That must be a lot in kilometers.	That must be a lot in kilometers.	31454481	1472705581118	1472705585021	NA	65	3903	-423	3	NA
60210	661336	Ladies, I am finished with July 01 and everything ties.	Ladies, I am finished with July 01 and everything ties.	31454818	1472705587347	1472705596029	NA	65	8682	-5040	3	NA
60289	662065	Provisional constitution will be voted into law by parliament.	Provisional constitution will be voted into law by parliament	31488703	1472706632467	1472706638233	SHIFT	16	5766	-1485	3	NA
60343	662737	I liked your flag.	I liked your flag.	31521086	1472707549177	1472707588301	f	70	39124	-33257	3	NA
60360	662902	Drop him if he was on your Fantasy roster.	Drop him if he was on your Factasy roster.	31528949	1472707842255	1472707841987	 	32	-268	120	1	TRUE
60422	663616	They appear to be coming out of Unify, but I cannot see them.	They appear to be oming out of Unify, but I cannot see them .	31563679	1472708839209	1472708873682	.	190	34473	-19057	3	NA
60422	663665	Our politicians are rising to the occasion.	Our politicians are rising to the occassion.	31565586	1472708887363	1472708922115	.	190	34752	-24272	3	NA
60448	663939	I would not say I have guaranteed my final place.	I would not say I have guaranteed my final place.	31578920	1472709163742	1472709204932	f	70	41190	-27503	3	NA
60448	663946	He left the Jets  win over Miami in the second half on October.	He left the Jets win over Miami in the second half on October.	31579120	1472709204788	1472709210269	f	70	5481	-1344	3	NA
60448	663962	I just finished faxing everything.	I just finished faxing everything.	31579873	1472709221772	1472709230413	f	70	8641	-4337	3	NA
60740	666941	She started singing along softly with the radio.	She started singing along softly with the radio.	31722470	1472714360711	1472714369962	a	65	9251	-1175	3	NA
60740	666952	Have you done any deals yet?	Have you done any deals yet?	31722840	1472714374216	1472714380255	a	65	6039	-570	3	NA
60740	666957	I do not want to repeat.	I do not want to repeat.	31723212	1472714382289	1472714388535	a	65	6246	-1047	3	NA
60740	666964	Please accept my apology.	Please accept my apology.	31723450	1472714389609	1472714394480	a	65	4871	-648	3	NA
60740	666972	Please re-draft and let me know if there are further discrepancies.	Please re-draft and let me know if there are further discrepancies.	31723815	1472714396201	1472714404096	a	65	7895	-1040	3	NA
60740	666984	We've pursued other options and as a result we've made some progress.	We've pursued other options and as a result we've made some progress.	31724616	1472714411593	1472714422817	a	65	11224	-689	3	NA
60740	666994	The French diplomat meanwhile reiterated his condemnation.	The French diplomat meanwhile reiterated his condemnation.	31725193	1472714425916	1472714437890	a	65	11974	-2000	3	NA
60740	667018	I'm waiting until she comes home.	I'm waiting until she comes home.	31726270	1472714454036	1472714465699	a	65	11663	-5193	3	NA
60740	667028	Also it appears no payment is required tomorrow.	Also it appears no payment is required tomorrow.	31726634	1472714465589	1472714475981	a	65	10392	-4929	3	NA
60740	667036	Can you call me at home?	Can you call me at home?	31726921	1472714478246	1472714485677	a	65	7431	-2865	3	NA
60740	667041	Davis was listed as questionable on the weekly injury report.	Davis was listed as questionable on the weekly injury report.	31727221	1472714487031	1472714495366	a	65	8335	-872	3	NA
60740	667050	I was trying to remember what Bobby said.	I was trying to remember what Bobby said.	31727623	1472714498807	1472714507887	a	65	9080	-4216	3	NA
60740	667054	I dont think any country wants to step out ahead and take the lead.	I dont think any country wants to step out ahead and take the lead.	31727939	1472714512121	1472714519296	a	65	7175	-288	3	NA
61320	672809	One of the Hottest Gifts for Holiday 2001.	One of the Hottest Gifts for Holiday 2001.	32000535	1472722861701	1472722880230	BKSP	8	18529	-10511	3	NA
